Year,State,Number
2000,Alabama,240517
2000,Alaska,16460
2000,Arizona,210776
2000,Arkansas,118510
2000,California,1664337
2000,Colorado,151738
2000,Connecticut,136006
2000,Delaware,36636
2000,District of Columbia,29419
2000,Florida,819663
2000,Georgia,393965
2000,Hawaii,46839
2000,Idaho,43475
2000,Illinois,560361
2000,Indiana,267325
2000,Iowa,130957
2000,Kansas,114546
2000,Kentucky,193395
2000,Louisiana,207366
2000,Maine,56181
2000,Maryland,252100
2000,Massachusetts,272401
2000,Michigan,514285
2000,Minnesota,172908
2000,Mississippi,151491
2000,Missouri,271376
2000,Montana,31395
2000,Nebraska,60354
2000,Nevada,96242
2000,New Hampshire,40222
2000,New Jersey,362253
2000,New Mexico,80490
2000,New York,867776
2000,North Carolina,375512
2000,North Dakota,24225
2000,Ohio,526165
2000,Oklahoma,136347
2000,Oregon,149589
2000,Pennsylvania,652297
2000,Rhode Island,45619
2000,South Carolina,205236
2000,South Dakota,29957
2000,Tennessee,301585
2000,Texas,902511
2000,Utah,74580
2000,Vermont,19734
2000,Virginia,322442
2000,Washington,237966
2000,West Virginia,104846
2000,Wisconsin,238020
2000,Wyoming,16760
2000,Puerto Rico,235163
2000,Guam,No Data
2000,Virgin Islands of the U.S.,No Data
2001,Alabama,320268
2001,Alaska,17748
2001,Arizona,230298
2001,Arkansas,155343
2001,California,1618772
2001,Colorado,150336
2001,Connecticut,161665
2001,Delaware,41857
2001,District of Columbia,37170
2001,Florida,1005251
2001,Georgia,420999
2001,Hawaii,56264
2001,Idaho,50078
2001,Illinois,617233
2001,Indiana,296212
2001,Iowa,124232
2001,Kansas,115070
2001,Kentucky,202676
2001,Louisiana,242769
2001,Maine,63983
2001,Maryland,272868
2001,Massachusetts,271515
2001,Michigan,532407
2001,Minnesota,158625
2001,Mississippi,189479
2001,Missouri,274442
2001,Montana,37053
2001,Nebraska,65430
2001,Nevada,87688
2001,New Hampshire,49944
2001,New Jersey,461508
2001,New Mexico,80448
2001,New York,946238
2001,North Carolina,411723
2001,North Dakota,23763
2001,Ohio,604007
2001,Oklahoma,198611
2001,Oregon,145938
2001,Pennsylvania,626367
2001,Rhode Island,52099
2001,South Carolina,240118
2001,South Dakota,33293
2001,Tennessee,336765
2001,Texas,1073042
2001,Utah,61736
2001,Vermont,23210
2001,Virginia,322086
2001,Washington,252470
2001,West Virginia,121898
2001,Wisconsin,223129
2001,Wyoming,15792
2001,Guam,9007
2001,Puerto Rico,273139
2001,Virgin Islands of the U.S.,5218
2002,Alabama,284630
2002,Alaska,15402
2002,Arizona,255497
2002,Arkansas,158802
2002,California,1890080
2002,Colorado,146619
2002,Connecticut,150827
2002,Delaware,42659
2002,District of Columbia,34715
2002,Florida,968984
2002,Georgia,437633
2002,Hawaii,52496
2002,Idaho,57913
2002,Illinois,630968
2002,Indiana,336425
2002,Iowa,143425
2002,Kansas,127032
2002,Kentucky,214769
2002,Louisiana,228506
2002,Maine,71883
2002,Maryland,273529
2002,Massachusetts,279973
2002,Michigan,584807
2002,Minnesota,179712
2002,Mississippi,178019
2002,Missouri,306296
2002,Montana,37067
2002,Nebraska,73517
2002,Nevada,100955
2002,New Hampshire,58768
2002,New Jersey,388829
2002,New Mexico,82219
2002,New York,1027837
2002,North Carolina,447571
2002,North Dakota,29274
2002,Ohio,645506
2002,Oklahoma,172837
2002,Oregon,163690
2002,Pennsylvania,747658
2002,Rhode Island,45524
2002,South Carolina,254935
2002,South Dakota,34810
2002,Tennessee,367694
2002,Texas,1082286
2002,Utah,68243
2002,Vermont,27507
2002,Virginia,340162
2002,Washington,259778
2002,West Virginia,142397
2002,Wisconsin,203389
2002,Wyoming,20540
2002,Guam,7940
2002,Puerto Rico,288421
2002,Virgin Islands of the U.S.,6619
2003,Alabama,293860
2003,Alaska,22964
2003,Arizona,256412
2003,Arkansas,149729
2003,California,1875353
2003,Colorado,161014
2003,Connecticut,154086
2003,Delaware,46519
2003,District of Columbia,37106
2003,Florida,1102740
2003,Georgia,491538
2003,Hawaii,72159
2003,Idaho,61455
2003,Illinois,686759
2003,Indiana,356756
2003,Iowa,148582
2003,Kansas,120926
2003,Kentucky,264368
2003,Louisiana,278864
2003,Maine,74512
2003,Maryland,283643
2003,Massachusetts,298879
2003,Michigan,590124
2003,Minnesota,208073
2003,Mississippi,230883
2003,Missouri,292297
2003,Montana,38094
2003,Nebraska,81480
2003,Nevada,103600
2003,New Hampshire,53927
2003,New Jersey,458727
2003,New Mexico,77516
2003,New York,1073906
2003,North Carolina,516148
2003,North Dakota,29151
2003,Ohio,757633
2003,Oklahoma,188772
2003,Oregon,168100
2003,Pennsylvania,758765
2003,Rhode Island,56013
2003,South Carolina,288884
2003,South Dakota,39931
2003,Tennessee,412594
2003,Texas,1273433
2003,Utah,86952
2003,Vermont,27478
2003,Virginia,398688
2003,Washington,303010
2003,West Virginia,137795
2003,Wisconsin,245823
2003,Wyoming,21847
2003,Guam,10866
2003,Puerto Rico,309905
2003,Virgin Islands of the U.S.,7103
2004,Alabama,276551
2004,Alaska,19060
2004,Arizona,274838
2004,Arkansas,145241
2004,California,1849994
2004,Colorado,147606
2004,Connecticut,157157
2004,Delaware,44361
2004,District of Columbia,37173
2004,Florida,1026751
2004,Georgia,468656
2004,Idaho,61531
2004,Illinois,567756
2004,Indiana,353343
2004,Iowa,143411
2004,Kansas,131398
2004,Kentucky,239624
2004,Louisiana,272372
2004,Maine,76565
2004,Maryland,292448
2004,Massachusetts,277208
2004,Michigan,576468
2004,Minnesota,192744
2004,Mississippi,203140
2004,Missouri,313679
2004,Montana,41583
2004,Nebraska,81807
2004,Nevada,108730
2004,New Hampshire,63870
2004,New Jersey,439925
2004,New Mexico,89941
2004,New York,1089576
2004,North Carolina,535085
2004,North Dakota,28384
2004,Ohio,670026
2004,Oklahoma,211684
2004,Oregon,178937
2004,Pennsylvania,742309
2004,Rhode Island,59755
2004,South Carolina,262931
2004,South Dakota,37330
2004,Tennessee,372386
2004,Texas,1230926
2004,Utah,82596
2004,Vermont,25653
2004,Virginia,396024
2004,Washington,294419
2004,West Virginia,155193
2004,Wisconsin,231811
2004,Wyoming,22561
2004,Puerto Rico,299308
2004,Virgin Islands of the U.S.,6357
2004,Hawaii,No Data
2004,Guam,No Data
2005,Alabama,331659
2005,Alaska,20431
2005,Arizona,311390
2005,Arkansas,167113
2005,California,1886718
